School,Year,Paper Number,Question Number,Topic,Subtopic,"Difficulty 
1 - Normal
2 - Slightly Challenging
3 - Challenging",Difficulty
Tampines Sec,2024,1,8,Proof of Plane Geometry,,,
Tampines Sec,2024,1,9,Trigonometry,Drawing Trigo Graphs,2,Challenging
Tampines Sec,2024,1,10,Kinematics,,,
Tampines Sec,2024,1,11,Coordinate Geometry,,1,Normal
Tampines Sec,2024,1,12a,Differentiation,Stationary Points,1,Normal
Tampines Sec,2024,1,"12b, c",Differentiation,Tangent / Normal,1,Normal
Tampines Sec,2024,2,1,Polynomials,,1,Normal
Tampines Sec,2024,2,2,Exponential and Log,,1,Normal
Tampines Sec,2024,2,3a,Trigonometry,Special Angles,1,Normal
Tampines Sec,2024,2,3b,Trigonometry,Proving Trigo Functions,2,Challenging
Tampines Sec,2024,2,4,Differentiation,Stationary Points,1,Normal
Tampines Sec,2024,2,5,Exponential and Log,,1,Normal
Tampines Sec,2024,2,6,Trigonometry,R-Formula,1,Normal
Tampines Sec,2024,2,7,Integration,Differentiate then Integrate,1,Normal
Tampines Sec,2024,2,8,Differentiation,Rate of Change,1,Normal
Tampines Sec,2024,2,9,Coordinate Geometry (Circle),,2,Challenging
Tampines Sec,2024,2,10,Integration - Area under curve,,,
Xinmin,2024,1,1,Surds,,1,Normal
Xinmin,2024,1,2,Equation and Inequality,,1,Normal
Xinmin,2024,1,3,Differentiation,Increasing / Decreasing Functions,1,Normal
Xinmin,2024,1,4,Equation and Inequality,,1,Normal
Xinmin,2024,1,5,Equation and Inequality,,1,Normal
Xinmin,2024,1,6,Integration,Tangent / Normal,1,Normal
Xinmin,2024,1,7,Equation and Inequality,,1,Normal
Xinmin,2024,1,8,Partial Fractions,,1,Normal
Xinmin,2024,1,9,Linear Law,,,
Xinmin,2024,1,10,Binomial Expansion,,1,Normal
Xinmin,2024,1,11,Coordinate Geometry,,1,Normal
Xinmin,2024,1,12,Trigonometry,Drawing Trigo Graphs,2,Challenging
Xinmin,2024,1,13,Proof of Plane Geometry,,,
Xinmin,2024,1,14,Kinematics,,,
Xinmin,2024,2,1,Exponential and Log,,1,Normal
Xinmin,2024,2,2,Integration,Differentiate then Integrate,1,Normal
Xinmin,2024,2,3,Polynomials,,1,Normal
Xinmin,2024,2,4,Trigonometry,R-Formula,1,Normal
Xinmin,2024,2,5,Exponential and Log,,1,Normal
Xinmin,2024,2,6,Trigonometry,Drawing Trigo Graphs,2,Challenging
Xinmin,2024,2,7,Integration - Area under curve,,,
Xinmin,2024,2,8,Integration - Area under curve,,,
Xinmin,2024,2,9,Differentiation,Stationary Points,1,Normal
Xinmin,2024,2,10,Coordinate Geometry (Circle),,1,Normal
Xinmin,2024,2,11a,Trigonometry,Proving Trigo Functions,2,Challenging
Xinmin,2024,2,11b,Trigonometry,Solving Trigo Functions,1,Normal
Xinmin,2024,2,12,Differentiation,Rate of Change,2,Challenging
Zhong Hua,2024,1,1,Equation and Inequality,,1,Normal
Zhong Hua,2024,1,2,Equation and Inequality,,2,Challenging
Zhong Hua,2024,1,3,Trigonometry,Principal Values,1,Normal
Zhong Hua,2024,1,4,Partial Fractions,,2,Challenging
Zhong Hua,2024,1,"5a, b",Differentiation,Increasing / Decreasing Functions,1,Normal
Zhong Hua,2024,1,5c,Integration,Tangent / Normal,1,Normal
Zhong Hua,2024,1,6a,Trigonometry,Proving Trigo Functions,2,Challenging
Zhong Hua,2024,1,"6b, c",Trigonometry,Solving Trigo Functions,1,Normal
Zhong Hua,2024,1,7,Exponential and Log,Drawing Log / Exponential Graphs,2,Challenging
Zhong Hua,2024,1,8,Coordinate Geometry (Circle),,2,Challenging
Zhong Hua,2024,1,9,Integration,,2,Challenging
Zhong Hua,2024,1,10,Differentiation,Rate of Change,1,Normal
Zhong Hua,2024,1,11,Integration,Differentiate then Integrate,1,Normal
Zhong Hua,2024,1,12,Coordinate Geometry,,2,Challenging
Zhong Hua,2024,2,1,Exponential and Log,,1,Normal
Zhong Hua,2024,2,2,Binomial Expansion,,1,Normal
Zhong Hua,2024,2,3,Proof of Plane Geometry,,,
Zhong Hua,2024,2,4a,Trigonometry,Principal Values,,
Zhong Hua,2024,2,4b,Trigonometry,Drawing Trigo Graphs,2,Challenging
Zhong Hua,2024,2,5a,Trigonometry,Special Angles,1,Normal
Zhong Hua,2024,2,5b,Differentiation,Tangent / Normal,1,Normal
Zhong Hua,2024,2,6a,Polynomials,,1,Normal
Zhong Hua,2024,2,6b,Exponential and Log,,1,Normal
Zhong Hua,2024,2,7,Kinematics,,,
Zhong Hua,2024,2,8,Trigonometry,R-Formula,1,Normal
Zhong Hua,2024,2,9,Differentiation,Stationary Points,2,Challenging
Zhong Hua,2024,2,10,Linear Law,,,
Ahmad Ibrahim,2025,1,1,Trigonometry,,3,Very Challenging
Ahmad Ibrahim,2025,1,2,Differentiation,Rate of Change,2,Challenging
Ahmad Ibrahim,2025,1,3a,Equation and Inequality,,1,Normal
Ahmad Ibrahim,2025,1,3b,Equation and Inequality,,2,Challenging
Ahmad Ibrahim,2025,1,4,Integration,Differentiate then Integrate,1,Normal
Ahmad Ibrahim,2025,1,5,Binomial Expansion,,1,Normal
Ahmad Ibrahim,2025,1,6,Proof of Plane Geometry,,,
Ahmad Ibrahim,2025,1,"7a,b,d",Coordinate Geometry,,1,Normal
Ahmad Ibrahim,2025,1,7c,Coordinate Geometry,Finding Coordinate with Ratio,2,Challenging
Ahmad Ibrahim,2025,1,8,Differentiation,Stationary Points,1,Normal
Ahmad Ibrahim,2025,1,9,Trigonometry,Drawing Trigo Graphs,1,Normal
Ahmad Ibrahim,2025,1,10,Integration,Integrate with Partial Fraction,1,Normal
Ahmad Ibrahim,2025,1,11,Trigonometry,Drawing Trigo Graphs,3,Very Challenging
Ahmad Ibrahim,2025,1,12,Integration - Area under curve,,1,Normal
Ahmad Ibrahim,2025,2,1,Differentiation,Tangent / Normal,2,Challenging
Ahmad Ibrahim,2025,2,2,Polynomials,,2,Challenging
Ahmad Ibrahim,2025,2,3,Trigonometry,R-Formula,1,Normal
Ahmad Ibrahim,2025,2,4,Coordinate Geometry (Circle),,1,Normal
Ahmad Ibrahim,2025,2,5,Trigonometry,Prove then Solve,2,Challenging
Ahmad Ibrahim,2025,2,6,Equation and Inequality,Quadratic Inequality,3,Very Challenging
Ahmad Ibrahim,2025,2,7,Kinematics,,1,Normal
Ahmad Ibrahim,2025,2,"8a,b",Differentiation,Increasing / Decreasing Functions,1,Normal
Ahmad Ibrahim,2025,2,8c,Linear Law,,1,Normal
Ahmad Ibrahim,2025,2,9a,Surds,,1,Normal
Ahmad Ibrahim,2025,2,"9b,c",Exponential and Log,,1,Normal
Ahmad Ibrahim,2025,2,"10a,bi,bii",Linear Law,,1,Normal
Ahmad Ibrahim,2025,2,10biii,Linear Law,,3,Very Challenging
Bedok South,2025,1,13a,Differentiation,Increasing / Decreasing Functions,1,Normal
Bedok South,2025,1,13b,Differentiation,Stationary Points,3,Very Challenging
Bedok South,2025,2,9,Linear Law,,3,Very Challenging
Bedok South,2025,,,,,,
Chung Cheng High (Yishun),2025,1,4,Trigonometry,,1,Normal
Chung Cheng High (Yishun),2025,1,7,Differentiation,Stationary Points,1,Normal
Chung Cheng High (Yishun),2025,1,9,Trigonometry,Drawing Trigo Graphs,2,Challenging
Chung Cheng High (Yishun),2025,1,10,Trigonometry,R-Formula,3,Very Challenging
Chung Cheng High (Yishun),2025,2,5,Trigonometry,Proving Trigo Functions,3,Very Challenging
ACS (Barker),2024,1,12,Trigonometry,Drawing Trigo Graphs,2,Challenging
ACS (Barker),2024,2,5,Trigonometry,Proving Trigo Functions,2,Challenging
ACS (Barker),2024,2,7,Linear Law,,1,Normal
Anglo-Chinese School (ACS),2023,1,1,Surds,,1,Normal
Anglo-Chinese School (ACS),2023,1,2,Polynomials,,3,Very Challenging
Anglo-Chinese School (ACS),2023,1,3,Exponential and Log,,1,Normal
Anglo-Chinese School (ACS),2023,1,4,Integration,Tangent / Normal,1,Normal
Anglo-Chinese School (ACS),2023,1,"5a, b",Differentiation,Increasing / Decreasing Functions,1,Normal
Anglo-Chinese School (ACS),2023,1,5c,Differentiation,Tangent / Normal,,
Anglo-Chinese School (ACS),2023,1,6,Trigonometry,Special Angles,2,Challenging
Anglo-Chinese School (ACS),2023,1,7,Integration,Differentiate then Integrate,1,Normal
Anglo-Chinese School (ACS),2023,1,8,,,1,Normal
Anglo-Chinese School (ACS),2023,1,9,Trigonometry,Drawing Trigo Graphs,1,Normal
Anglo-Chinese School (ACS),2023,1,10a,Exponential and Log,,2,Challenging
Anglo-Chinese School (ACS),2023,1,10b,Equation and Inequality,,1,Normal
Anglo-Chinese School (ACS),2023,1,11,Trigonometry,R-Formula,1,Normal
Anglo-Chinese School (ACS),2023,1,12,Coordinate Geometry (Circle),,2,Challenging
Anglo-Chinese School (ACS),2023,1,13,Integration,Integrate with Partial Fraction,1,Normal
Anglo-Chinese School (ACS),2023,2,1,Equation and Inequality,,1,Normal
Anglo-Chinese School (ACS),2023,2,2,Polynomials,,1,Normal
Anglo-Chinese School (ACS),2023,1,3a,Trigonometry,Proving Trigo Functions,1,Normal
Anglo-Chinese School (ACS),2023,1,3b,Trigonometry,Solving Trigo Functions,,
Anglo-Chinese School (ACS),2023,2,4,Differentiation,Rate of Change,1,Normal
Anglo-Chinese School (ACS),2023,2,5,Coordinate Geometry,,2,Challenging
Anglo-Chinese School (ACS),2023,2,6,Proof of Plane Geometry,,,
Anglo-Chinese School (ACS),2023,2,7,Linear Law,,,
Anglo-Chinese School (ACS),2023,2,8,Exponential and Log,,2,Challenging
Anglo-Chinese School (ACS),2023,2,9,Differentiation,Stationary Points,1,Normal
Anglo-Chinese School (ACS),2023,2,10,Integration - Area under curve,,,
Anglo-Chinese School (ACS),2023,2,11,Kinematics,,2,Challenging
Ahmad Ibrahim,2023,1,1,Linear Law,,2,Challenging
Ahmad Ibrahim,2023,1,2,Exponential and Log,,2,Challenging
Ahmad Ibrahim,2023,1,3,Differentiation,Rate of Change,2,Challenging
Ahmad Ibrahim,2023,1,4,Exponential and Log,,1,Normal
Ahmad Ibrahim,2023,1,5a,Trigonometry,Proving Trigo Functions,2,Challenging
Ahmad Ibrahim,2023,1,"5b, c",Trigonometry,Solving Trigo Functions,,
Ahmad Ibrahim,2023,1,6,Differentiation,Tangent / Normal,1,Normal
Ahmad Ibrahim,2023,1,7,Proof of Plane Geometry,,,
Ahmad Ibrahim,2023,1,8,Binomial Expansion,,3,Very Challenging
Ahmad Ibrahim,2023,1,9,Coordinate Geometry,,3,Very Challenging
Ahmad Ibrahim,2023,1,10a and 10b,Trigonometry,Drawing Trigo Graphs,1,Normal
Ahmad Ibrahim,2023,1,10c,Differentiation,Increasing / Decreasing Functions,1,Normal
Ahmad Ibrahim,2023,1,11a,Partial Fractions,,1,Normal
Ahmad Ibrahim,2023,1,11b and 11c,Integration,Tangent / Normal,2,Challenging
Ahmad Ibrahim,2023,2,1,Equation and Inequality,,1,Normal
Ahmad Ibrahim,2023,2,2,Equation and Inequality,,1,Normal
Ahmad Ibrahim,2023,2,3,Polynomials,,2,Challenging
Ahmad Ibrahim,2023,2,4,Exponential and Log,,2,Challenging
Ahmad Ibrahim,2023,2,5,Integration - Area under curve,,2,Challenging
Ahmad Ibrahim,2023,2,5a,Trigonometry,Special Angles,2,Challenging
Ahmad Ibrahim,2023,2,5b,Integration,,,
Ahmad Ibrahim,2023,2,6,Polynomials,,,
Ahmad Ibrahim,2023,2,7,Trigonometry,R-Formula,2,Challenging
Ahmad Ibrahim,2023,2,8,Differentiation,Stationary Points,2,Challenging
Ahmad Ibrahim,2023,2,9,Kinematics,,2,Challenging
Ahmad Ibrahim,2023,2,10,Coordinate Geometry (Circle),,2,Challenging
Anglican High,2023,1,1,Partial Fractions,,1,Normal
Anglican High,2023,1,2,Polynomials,,1,Normal
Anglican High,2023,1,3,Surds,,1,Normal
Anglican High,2023,1,4,Polynomials,,2,Challenging
Anglican High,2023,1,5,Equation and Inequality,,1,Normal
Anglican High,2023,1,6,Polynomials,,2,Challenging
Anglican High,2023,1,7,Differentiation,R-Formula,1,Normal
Anglican High,2023,1,8,Differentiation,Increasing / Decreasing Functions,1,Normal
Anglican High,2023,1,9,Differentiation,Tangent / Normal,1,Normal
Anglican High,2023,1,10,Differentiation,,2,Challenging
Anglican High,2023,1,11,Differentiation,Stationary Points,1,Normal
Anglican High,2023,1,12,Binomial Expansion,,1,Normal
Anglican High,2023,1,13,Exponential and Log,,1,Normal
Anglican High,2023,1,14,Trigonometry,R-Formula,2,Challenging
Anglican High,2023,1,15,Linear Law,,2,Challenging
Anglican High,2023,1,16,Proof of Plane Geometry,,,
Bedok View,2023,1,1,Equation and Inequality,,1,Normal
Bedok View,2023,1,2,Partial Fractions,,2,Challenging
Bedok View,2023,1,3,Trigonometry,Drawing Trigo Graphs,2,Challenging
Bedok View,2023,1,4,Binomial Expansion,,2,Challenging
Bedok View,2023,1,5,Kinematics,,2,Challenging
Bedok View,2023,1,6,Proof of Plane Geometry,,,
Bedok View,2023,1,7,Coordinate Geometry,,1,Normal
Bedok View,2023,1,8,Equation and Inequality,,1,Normal
Bedok View,2023,1,9,Integration,Tangent / Normal,2,Challenging
Bedok View,2023,1,10,Coordinate Geometry,,2,Challenging
Bedok View,2023,1,11,Equation and Inequality,,1,Normal
Bedok View,2023,1,12,Linear Law,,1,Normal
Bedok View,2023,2,1,Exponential and Log,,1,Normal
Bedok View,2023,2,2,Differentiation,Tangent / Normal,1,Normal
Bedok View,2023,2,3,Polynomials,,3,Very Challenging
Bedok View,2023,2,4a,Trigonometry,Proving Trigo Functions,1,Normal
Bedok View,2023,2,4b,Trigonometry,Solving Trigo Functions,,
Bedok View,2023,2,5,Exponential and Log,,1,Normal
Bedok View,2023,2,6,Trigonometry,Special Angles,2,Challenging
Bedok View,2023,2,7,Trigonometry,R-Formula,1,Normal
Bedok View,2023,2,8,Coordinate Geometry (Circle),,1,Normal
Bedok View,2023,2,"9a, 9b",Integration,Differentiate then Integrate,1,Normal
Bedok View,2023,2,"9c, 9d",Integration - Area under curve,,2,Challenging
Bedok View,2023,2,10,Differentiation,Stationary Points,2,Challenging
Cedar Girls,2023,1,1,Partial Fractions,,1,Normal
Cedar Girls,2023,1,2,Coordinate Geometry,,1,Normal
Cedar Girls,2023,1,3,Differentiation,Increasing / Decreasing Functions,2,Challenging
Cedar Girls,2023,1,4,Binomial Expansion,,1,Normal
Cedar Girls,2023,1,5,Equation and Inequality,,2,Challenging
Cedar Girls,2023,1,6,Equation and Inequality,,2,Challenging
Cedar Girls,2023,1,7,Linear Law,,1,Normal
Cedar Girls,2023,1,8,Proof of Plane Geometry,,,
Cedar Girls,2023,1,9,Integration,,1,Normal
Cedar Girls,2023,1,10,Differentiation,Tangent / Normal,1,Normal
Cedar Girls,2023,1,11,Trigonometry,Drawing Trigo Graphs,1,Normal
Cedar Girls,2023,1,12,Kinematics,,2,Challenging
Cedar Girls,2023,2,1,Exponential and Log,,1,Normal
Cedar Girls,2023,2,2a,Trigonometry,Proving Trigo Functions,1,Normal
Cedar Girls,2023,2,2b,Trigonometry,Solving Trigo Functions,,
Cedar Girls,2023,2,3,Polynomials,,1,Normal
Cedar Girls,2023,2,4,Integration,Differentiate then Integrate,2,Challenging
Cedar Girls,2023,2,5,Trigonometry,Special Angles,2,Challenging
Cedar Girls,2023,2,6,Differentiation,Stationary Points,1,Normal
Cedar Girls,2023,2,7,Exponential and Log,,1,Normal
Cedar Girls,2023,2,8,Coordinate Geometry,,1,Normal
Cedar Girls,2023,2,9,Trigonometry,R-Formula,1,Normal
Cedar Girls,2023,2,10,Integration - Area under curve,,2,Challenging
Cedar Girls,2023,2,11,Integration,,2,Challenging
Chung Cheng High,2023,1,1,Surds,,1,Normal
Chung Cheng High,2023,1,2,Trigonometry,Principal Values,2,Challenging
Chung Cheng High,2023,1,3,Partial Fractions,,1,Normal
Chung Cheng High,2023,1,4,Polynomials,,2,Challenging
Chung Cheng High,2023,1,5,Differentiation,Stationary Points,1,Normal
Chung Cheng High,2023,1,6,Equation and Inequality,,2,Challenging
Chung Cheng High,2023,1,7,Exponential and Log,,2,Challenging
Chung Cheng High,2023,1,8,Differentiation,Increasing / Decreasing Functions,1,Normal
Chung Cheng High,2023,1,9,Trigonometry,Proving Trigo Functions,2,Challenging
Chung Cheng High,2023,1,10,Coordinate Geometry (Circle),,2,Challenging
Chung Cheng High,2023,1,11,Linear Law,,2,Challenging
Chung Cheng High,2023,1,12,Kinematics,,2,Challenging
Chung Cheng High,2023,2,1,Equation and Inequality,,2,Challenging
Chung Cheng High,2023,2,2,Binomial Expansion,,1,Normal
Chung Cheng High,2023,2,3,Trigonometry,R-Formula,1,Normal
Chung Cheng High,2023,2,4,Proof of Plane Geometry,,,
Chung Cheng High,2023,2,5,Exponential and Log,,2,Challenging
Chung Cheng High,2023,2,6,Differentiation,Rate of Change,2,Challenging
Chung Cheng High,2023,2,"7a, b",Trigonometry,Proving Trigo Functions,2,Challenging
Chung Cheng High,2023,2,7c,Integration - Area under curve,,,
Chung Cheng High,2023,2,8,Coordinate Geometry,,2,Challenging
Chung Cheng High,2023,2,9,Differentiation,,2,Challenging
Chung Cheng High,2023,2,10,Differentiation,Stationary Points,1,Normal
Crescent Girls,2023,1,1,Surds,,1,Normal
Crescent Girls,2023,1,2,Equation and Inequality,,1,Normal
Crescent Girls,2023,1,3,Equation and Inequality,,1,Normal
Crescent Girls,2023,1,4,Integration,,1,Normal
Crescent Girls,2023,1,5,Partial Fractions,,1,Normal
Crescent Girls,2023,1,6,Polynomials,,1,Normal
Crescent Girls,2023,1,7,Trigonometry,Drawing Trigo Graphs,2,Challenging
Crescent Girls,2023,1,8,Differentiation,Stationary Points,2,Challenging
Crescent Girls,2023,1,9,Coordinate Geometry,,2,Challenging
Crescent Girls,2023,1,10,Trigonometry,Proving Trigo Functions,2,Challenging
Crescent Girls,2023,1,11,Proof of Plane Geometry,,,
Crescent Girls,2023,1,12,Exponential and Log,,1,Normal
Crescent Girls,2023,1,13,Integration - Area under curve,,2,Challenging
Crescent Girls,2023,1,14,Differentiation,Rate of Change,1,Normal
Crescent Girls,2023,2,1,Differentiation,Tangent / Normal,1,Normal
Crescent Girls,2023,2,2,Exponential and Log,,1,Normal
Crescent Girls,2023,2,3,Coordinate Geometry (Circle),,2,Challenging
Crescent Girls,2023,2,4a,Differentiation,,2,Challenging
Crescent Girls,2023,2,4b,Trigonometry,Special Angles,,
Crescent Girls,2023,2,5,Integration,Differentiate then Integrate,1,Normal
Crescent Girls,2023,2,6,Trigonometry,R-Formula,1,Normal
Crescent Girls,2023,2,7,Binomial Expansion,,1,Normal
Crescent Girls,2023,2,8,Integration - Area under curve,,2,Challenging
Crescent Girls,2023,2,9,Kinematics,,3,Very Challenging
Crescent Girls,2023,2,10,Coordinate Geometry (Circle),,3,Very Challenging
Crescent Girls,2023,2,11,Linear Law,,2,Challenging
Fairfield Methodist,2023,1,1,Trigonometry,Special Angles,1,Normal
Fairfield Methodist,2023,1,2,Equation and Inequality,,1,Normal
Fairfield Methodist,2023,1,3,Differentiation,,1,Normal
Fairfield Methodist,2023,1,4,Differentiation,Rate of Change,1,Normal
Fairfield Methodist,2023,1,5,Exponential and Log,,1,Normal
Fairfield Methodist,2023,1,6,Proof of Plane Geometry,,,
Fairfield Methodist,2023,1,7,Binomial Expansion,,1,Normal
Fairfield Methodist,2023,1,8,Equation and Inequality,,2,Challenging
Fairfield Methodist,2023,1,9,Differentiation,Stationary Points,1,Normal
Fairfield Methodist,2023,1,10,Coordinate Geometry,,2,Challenging
Fairfield Methodist,2023,1,11,Surds,,2,Challenging
Fairfield Methodist,2023,1,12,Kinematics,,2,Challenging
Fairfield Methodist,2023,1,13,Trigonometry,Drawing Trigo Graphs,2,Challenging
Fairfield Methodist,2023,2,1,Partial Fractions,,1,Normal
Fairfield Methodist,2023,2,2,Integration,Differentiate then Integrate,1,Normal
Fairfield Methodist,2023,2,3,Exponential and Log,Drawing Log / Exponential Graphs,2,Challenging
Fairfield Methodist,2023,2,4,Exponential and Log,,2,Challenging
Fairfield Methodist,2023,2,5,Differentiation,,2,Challenging
Fairfield Methodist,2023,2,6,Coordinate Geometry (Circle),,2,Challenging
Fairfield Methodist,2023,2,7,Trigonometry,Proving Trigo Functions,2,Challenging
Fairfield Methodist,2023,2,8,Trigonometry,R-Formula,1,Normal
Fairfield Methodist,2023,2,9,Integration - Area under curve,,2,Challenging
Fairfield Methodist,2023,2,10,Polynomials,,2,Challenging
Fairfield Methodist,2023,2,11,Linear Law,,2,Challenging
Greendale,2023,1,1,Surds,,1,Normal
Greendale,2023,1,2,Equation and Inequality,,1,Normal
Greendale,2023,1,3,Equation and Inequality,,1,Normal
Greendale,2023,1,4,Integration,,2,Challenging
Greendale,2023,1,5,Partial Fractions,,2,Challenging
Greendale,2023,1,6,Polynomials,,3,Very Challenging
Greendale,2023,1,7,Trigonometry,Drawing Trigo Graphs,2,Challenging
Greendale,2023,1,"8a, bi",Differentiation,,2,Challenging
Greendale,2023,1,8bii,Integration,,,
Greendale,2023,1,9,Coordinate Geometry,,1,Normal
Greendale,2023,1,10,Trigonometry,Proving Trigo Functions,1,Normal
Greendale,2023,1,11,Proof of Plane Geometry,,,
Greendale,2023,1,12,Exponential and Log,,2,Challenging
Greendale,2023,1,13,Differentiation,Rate of Change,2,Challenging
Greendale,2023,1,14,Integration - Area under curve,,2,Challenging
Greendale,2023,2,1,Exponential and Log,,1,Normal
Greendale,2023,2,2,Polynomials,,3,Very Challenging
Greendale,2023,2,3,Kinematics,,2,Challenging
Greendale,2023,2,4,Trigonometry,R-Formula,1,Normal
Greendale,2023,2,5,Equation and Inequality,,3,Very Challenging
Greendale,2023,2,6,Binomial Expansion,,3,Very Challenging
Greendale,2023,2,7,Linear Law,,3,Very Challenging
Greendale,2023,2,8,Differentiation,Stationary Points,2,Challenging
Greendale,2023,2,9,Coordinate Geometry (Circle),,1,Normal
Greendale,2023,2,10,Integration - Area under curve,,3,Very Challenging
Hillgrove,2023,1,1,Equation and Inequality,,1,Normal
Hillgrove,2023,1,2,Surds,,2,Challenging
Hillgrove,2023,1,3,Exponential and Log,,1,Normal
Hillgrove,2023,1,4,Equation and Inequality,,2,Challenging
Hillgrove,2023,1,5,Equation and Inequality,,2,Challenging
Hillgrove,2023,1,6,Polynomials,,2,Challenging
Hillgrove,2023,1,7,Integration,Integrate with Partial Fraction,1,Normal
Hillgrove,2023,1,8,Coordinate Geometry,,1,Normal
Hillgrove,2023,1,9,Binomial Expansion,,3,Very Challenging
Hillgrove,2023,1,10,Integration,Tangent / Normal,1,Normal
Hillgrove,2023,1,11,Trigonometry,Drawing Trigo Graphs,1,Normal
Hillgrove,2023,1,12,Differentiation,Rate of Change,1,Normal
Hillgrove,2023,1,13a,Trigonometry,Proving Trigo Functions,1,Normal
Hillgrove,2023,1,13b,Trigonometry,Solving Trigo Functions,,
Hillgrove,2023,1,14,Proof of Plane Geometry,,,
Hillgrove,2023,2,1,Trigonometry,Special Angles,1,Normal
Hillgrove,2023,2,2,Integration,Differentiate then Integrate,1,Normal
Hillgrove,2023,2,3,Exponential and Log,,1,Normal
Hillgrove,2023,2,4,Kinematics,,2,Challenging
Hillgrove,2023,2,5,Equation and Inequality,,2,Challenging
Hillgrove,2023,2,6,Integration - Area under curve,,2,Challenging
Hillgrove,2023,2,7,Linear Law,,2,Challenging
Hillgrove,2023,2,8,Trigonometry,R-Formula,1,Normal
Hillgrove,2023,2,9,Coordinate Geometry,,2,Challenging
Hillgrove,2023,2,10,Differentiation,Stationary Points,1,Normal
Hua Yi,2023,1,1,Equation and Inequality,,3,Very Challenging
Hua Yi,2023,1,2,Binomial Expansion,,1,Normal
Hua Yi,2023,1,3,Trigonometry,Drawing Trigo Graphs,3,Very Challenging
Hua Yi,2023,1,4,Integration,,1,Normal
Hua Yi,2023,1,5,Exponential and Log,,1,Normal
Hua Yi,2023,1,6a,Differentiation,Increasing / Decreasing Functions,1,Normal
Hua Yi,2023,1,6b,Differentiation,Rate of Change,,
Hua Yi,2023,1,7,Coordinate Geometry,,1,Normal
Hua Yi,2023,1,"8a, b",Trigonometry,Proving Trigo Functions,2,Challenging
Hua Yi,2023,1,8c,Integration,,,
Hua Yi,2023,1,9,Differentiation,Stationary Points,2,Challenging
Hua Yi,2023,1,10,Polynomials,,2,Challenging
Hua Yi,2023,1,11,Proof of Plane Geometry,,,
Hua Yi,2023,1,12a,Trigonometry,Proving Trigo Functions,1,Normal
Hua Yi,2023,1,12b,Trigonometry,Solving Trigo Functions,,
Hua Yi,2023,1,13,Kinematics,,2,Challenging
Hua Yi,2023,2,1,Polynomials,,1,Normal
Hua Yi,2023,2,2,Integration - Area under curve,,2,Challenging
Hua Yi,2023,2,3,Differentiation,Differentiate then Integrate,1,Normal
Hua Yi,2023,2,4,Trigonometry,R-Formula,1,Normal
Hua Yi,2023,2,5,Differentiation,Stationary Points,1,Normal
Hua Yi,2023,2,6,Coordinate Geometry (Circle),,2,Challenging
Hua Yi,2023,2,7,Exponential and Log,,1,Normal
Hua Yi,2023,2,8,Equation and Inequality,,2,Challenging
Hua Yi,2023,2,9a,Surds,,1,Normal
Hua Yi,2023,2,9b,Equation and Inequality,,1,Normal
Hua Yi,2023,2,10,Linear Law,,2,Challenging
Jun Yuan,2023,1,1,Differentiation,Rate of Change,1,Normal
Jun Yuan,2023,1,2,Exponential and Log,,1,Normal
Jun Yuan,2023,1,3,Exponential and Log,,2,Challenging
Jun Yuan,2023,1,4,Binomial Expansion,,1,Normal
Jun Yuan,2023,1,5,Differentiation,Stationary Points,2,Challenging
Jun Yuan,2023,1,6,Trigonometry,Principal Values,2,Challenging
Jun Yuan,2023,1,7,Trigonometry,Drawing Trigo Graphs,1,Normal
Jun Yuan,2023,1,8,Equation and Inequality,,2,Challenging
Jun Yuan,2023,1,9,Proof of Plane Geometry,,,
Jun Yuan,2023,1,10,Coordinate Geometry (Circle),,1,Normal
Jun Yuan,2023,1,11,Polynomials,,1,Normal
Jun Yuan,2023,1,12,Coordinate Geometry,,2,Challenging
Jun Yuan,2023,2,1,Differentiation,Tangent / Normal,1,Normal
Jun Yuan,2023,2,2a,Trigonometry,Proving Trigo Functions,1,Normal
Jun Yuan,2023,2,2b,Trigonometry,Solving Trigo Functions,1,Normal
Jun Yuan,2023,2,3,Surds,,2,Challenging
Jun Yuan,2023,2,4,Linear Law,,1,Normal
Jun Yuan,2023,2,5,Exponential and Log,,2,Challenging
Jun Yuan,2023,2,6,Integration - Area under curve,,2,Challenging
Jun Yuan,2023,2,7,Trigonometry,R-Formula,1,Normal
Jun Yuan,2023,2,8,Kinematics,,2,Challenging
Jun Yuan,2023,2,9,Differentiation,Stationary Points,1,Normal
Jun Yuan,2023,2,10,Integration,Integrate with Partial Fraction,1,Normal
Jun Yuan,2023,2,11a,Differentiation,Increasing / Decreasing Functions,1,Normal
Jun Yuan,2023,2,11b,Integration,,2,Challenging
Jurong,2023,1,1,Equation and Inequality,,1,Normal
Jurong,2023,1,2,Partial Fractions,,2,Challenging
Jurong,2023,1,3,Differentiation,Stationary Points,1,Normal
Jurong,2023,1,4,Proof of Plane Geometry,,,
Jurong,2023,1,5,Differentiation,Increasing / Decreasing Functions,3,Very Challenging
Jurong,2023,1,6,Integration,Tangent / Normal,2,Challenging
Jurong,2023,1,7,Differentiation,Tangent / Normal,2,Challenging
Jurong,2023,1,8,Trigonometry,Drawing Trigo Graphs,2,Challenging
Jurong,2023,1,9,Linear Law,,1,Normal
Jurong,2023,1,10,Polynomials,,2,Challenging
Jurong,2023,1,11,Binomial Expansion,,1,Normal
